Sku Code,Item Name,Shelf,Batch,BatchStatus,Type,Total (Stock on hand),Available (ATP),Blocked (Committed),Not Found,Size,Color,Brand,Updated,Inventory Allocation,Inventory Sync,Sku Mixing,Shelf on hold,Image,Pendency on all channels,Total Inventory,Item Type Inventory Id
SIMPLE_9a01b18b_TOP_XXS,INDIGO LONG KAFTAN - Top XXS,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXS,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976268
SIMPLE_c7c040b0_TOP_XS,INDIGO LONG KAFTAN - Top XS,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XS,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976270
SIMPLE_14ff5988_TOP_S,INDIGO LONG KAFTAN - Top S,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,S,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976272
SIMPLE_28bfca2c_TOP_M,INDIGO LONG KAFTAN - Top M,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,M,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976274
SIMPLE_b6019e6d_TOP_L,INDIGO LONG KAFTAN - Top L,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,L,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976276
SIMPLE_ba6b35c0_TOP_XL,INDIGO LONG KAFTAN - Top XL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XL,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976278
SIMPLE_c18b787a_TOP_XXL,INDIGO LONG KAFTAN - Top XXL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXL,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976280
SIMPLE_5f0847fe_TOP_XXXL,INDIGO LONG KAFTAN - Top XXXL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXXL,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976282
SIMPLE_58989816_TOP_XXS,BIRD PRINTED KURTA - Top XXS,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXS,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976284
SIMPLE_40d5f038_TOP_XS,BIRD PRINTED KURTA - Top XS,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XS,,,2026-01-23 22:14:54,true,true,true,false,,0,0,4976286
SIMPLE_4a5c5a98_TOP_S,BIRD PRINTED KURTA - Top S,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,S,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976288
SIMPLE_200a0321_TOP_M,BIRD PRINTED KURTA - Top M,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,M,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976290
SIMPLE_7c9813c8_TOP_L,BIRD PRINTED KURTA - Top L,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,L,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976292
SIMPLE_2a7a476e_TOP_XL,BIRD PRINTED KURTA - Top XL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XL,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976294
SIMPLE_e4ae92b2_TOP_XXL,BIRD PRINTED KURTA - Top XXL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXL,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976296
SIMPLE_eeaf9e2a_TOP_XXXL,BIRD PRINTED KURTA - Top XXXL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXXL,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976298
SIMPLE_acbe8097_TOP_XXS,BIRD PRINTED MIDI DRESS - Top XXS,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXS,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976300
SIMPLE_af9b1a0a_TOP_XS,BIRD PRINTED MIDI DRESS - Top XS,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XS,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976302
SIMPLE_9ff0026f_TOP_S,BIRD PRINTED MIDI DRESS - Top S,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,S,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976304
SIMPLE_eb2537ec_TOP_M,BIRD PRINTED MIDI DRESS - Top M,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,M,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976306
SIMPLE_83adb3cc_TOP_L,BIRD PRINTED MIDI DRESS - Top L,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,L,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976308
SIMPLE_336c9211_TOP_XL,BIRD PRINTED MIDI DRESS - Top XL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XL,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976310
SIMPLE_0e60e0b9_TOP_XXL,BIRD PRINTED MIDI DRESS - Top XXL,DEFAULT,,-1,VIRTUAL_INVENTORY,1000,1000,0,0,XXL,,,2026-01-23 22:14:55,true,true,true,false,,0,0,4976312
